nombre,código x,código y,pregunta x,pregunta y,Beta_10,Cosd_10,Beta_20,Cosd_20,Beta_30,Cosd_30,Beta_40,Cosd_40,Beta_50,Cosd_50,Beta_60,Cosd_60,Beta_70,Cosd_70,Beta_80,Cosd_80,Beta_90,Cosd_90,Beta_100,Cosd_100
V202344x_vs_V202336x.csv,V202336x,V202344x,Regulate Greenhouse Emissions,Banning Rifles,0.6,0.04,0.65,0.02,0.65,0.0,0.65,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V201408x_vs_V202383x.csv,V202383x,V201408x,Benefits of vaccination,Service same sex couples,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V201386x_vs_V201372x.csv,V201372x,V201386x,Pres didnt worry Congress,Impeachment,0.65,0.02,0.65,0.02,0.65,0.0,0.65,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V201420x_vs_V201386x.csv,V201386x,V201420x,Impeachment,Birthright Citizenship,0.65,0.04,0.65,0.02,0.65,0.0,0.65,0.0,1.1,0.06,1.1,0.06,1.1,0.06,1.1,0.06,1.1,0.08,1.15,0.1
V201408x_vs_V202336x.csv,V202336x,V201408x,Regulate Greenhouse Emissions,Service same sex couples,0.6,0.04,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V202350x_vs_V201426x.csv,V201426x,V202350x,Wall with Mexico,Govt action about opiods,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V202341x_vs_V201386x.csv,V201386x,V202341x,Impeachment,Background checks,0.55,0.02,0.55,0.02,0.5,0.02,0.5,0.02,0.5,0.02,0.4,0.0,0.5,0.02,0.5,0.02,0.5,0.02,0.5,0.02
V202320x_vs_V201429.csv,V201429,V202320x,Urban Unrest,Economic Mobility,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V201429_vs_V201372x.csv,V201372x,V201429,Pres didnt worry Congress,Urban Unrest,0.65,0.02,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V202383x_vs_V202320x.csv,V202320x,V202383x,Economic Mobility,Benefits of vaccination,0.6,0.0,0.6,0.0,0.6,0.0,0.35,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0
V202331x_vs_V201420x.csv,V201420x,V202331x,Birthright Citizenship,Vaccines Schools,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0
V202320x_vs_V202328x.csv,V202328x,V202320x,Obamacare,Economic Mobility,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
V202255x_vs_V201426x.csv,V201426x,V202255x,Wall with Mexico,Less or more Government,0.6,0.04,0.6,0.0,0.65,0.0,0.6,0.0,0.6,0.0,0.45,0.46,0.4,0.48,0.4,0.48,1.1,0.08,1.15,0.1
V202383x_vs_V202350x.csv,V202350x,V202383x,Govt action about opiods,Benefits of vaccination,0.6,0.04,0.6,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0
